start,end,today,,Select region,Select your National Society,Visibility:,__version__,_id,_uuid,_submission_time,_validation_status,_index,INVOLVED IN VACCINATION ACTIVITIES,ISO3,Final involvement,Source
2021-01-31T21:36:11.424-04:00,2021-02-03T18:51:44.712-04:00,,,Americas,Saint Vincent and the Grenadines Red Cross,,vMPG6MGnijsu8tbJnDstLN,10847,8e06df85-1577-4ef4-b690-555605849731,2021-02-03T22:51:57,,5,0,VCT,Yes,SA Tool
2021-02-04T08:49:45.079-04:00,2021-02-04T09:13:08.773-04:00,,,Americas,The Trinidad and Tobago Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,10971,3ec420af-e223-402c-a648-300fd07c8a65,2021-02-04T13:13:24,,6,0,TTO,Yes,SA Tool
2021-02-04T11:28:07.526-06:00,2021-02-04T12:52:43.424-06:00,,,Americas,Belize Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,11057,d6b2f53f-c9bb-4535-b771-4cd25c9cd1f1,2021-02-04T18:52:57,,7,0,BLZ,Yes,SA Tool
2021-02-04T19:48:15.076-05:00,2021-02-04T20:44:41.444-05:00,,,Americas,Jamaican Red Cross,,vMPG6MGnijsu8tbJnDstLN,11151,299c6f4c-7eea-45f0-8142-197ebcb74a9e,2021-02-05T01:44:55,,8,0,JAM,Yes,SA Tool
2021-02-03T13:58:41.370-05:00,2021-02-05T12:40:49.756-05:00,,,Americas,The Barbados Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,11317,ef9a340d-f192-4596-94f2-918341f10097,2021-02-05T16:43:23,,9,0,BRB,Yes,SA Tool
2021-02-05T12:42:13.993-04:00,2021-02-05T13:07:58.898-04:00,,,Americas,Saint Lucia Red Cross,,vMPG6MGnijsu8tbJnDstLN,11318,b2481baf-0bde-4fd6-b5e6-020a400fa139,2021-02-05T17:08:12,,10,0,LCA,Yes,SA Tool
2021-02-05T13:50:26.539-03:00,2021-02-05T14:28:38.960-03:00,,,Americas,Suriname Red Cross,,vMPG6MGnijsu8tbJnDstLN,11319,39dd034a-6059-4d1e-8601-d4db7290f2cf,2021-02-05T17:28:56,,11,0,SUR,Yes,SA Tool
2021-02-05T13:45:47.006-04:00,2021-02-05T14:36:41.213-04:00,,,Americas,Antigua and Barbuda Red Cross,,vMPG6MGnijsu8tbJnDstLN,11324,670aff1f-bfa6-41ff-8023-ab3c01d72525,2021-02-05T18:36:58,,12,0,ATG,No,SA Tool
2021-02-05T14:45:19.061-04:00,2021-02-08T20:10:35.498-04:00,,,Americas,Saint Kitts and Nevis Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,11815,6b903a03-3feb-4225-bf59-83726ce03386,2021-02-09T00:10:49,,13,0,KNA,No,SA Tool
2021-02-11T08:57:24.811+01:00,2021-02-11T09:45:00.719+01:00,,,Americas,The Bahamas Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,12574,3f15d7b2-ce42-46d3-9185-7b36ab51e244,2021-02-11T08:45:13,,14,0,BHS,Yes,SA Tool
2021-01-26T08:25:09.324-06:00,2021-01-26T08:46:33.645-06:00,,,Americas,Salvadorean Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,9339,e0719fc1-788b-4aff-8624-75849b9035f4,2021-01-26T14:46:35,,3,0,SLV,Yes,SA Tool
2021-01-28T16:35:09.702-05:00,2021-01-28T17:14:17.858-05:00,,,Americas,Red Cross Society of Panama,,vMPG6MGnijsu8tbJnDstLN,9748,58342f3e-aabb-43cd-9742-c95f28de4a87,2021-01-28T22:14:19,,4,0,PAN,Yes,SA Tool
2021-01-29T09:22:09.249-06:00,2021-01-29T09:53:07.487-06:00,,,Americas,Mexican Red Cross,,vMPG6MGnijsu8tbJnDstLN,9888,3f855b27-1fe5-4f8a-b4f7-1c0e1592650c,2021-01-29T15:53:08,,5,0,MEX,Yes,SA Tool
2021-01-29T10:36:39.014-04:00,2021-01-29T11:55:45.077-04:00,,,Americas,Dominican Red Cross,,vMPG6MGnijsu8tbJnDstLN,9889,b9eb8d26-ea17-4348-933e-21ebd822e29a,2021-01-29T15:55:45,,6,0,DOM,Yes,SA Tool
2021-01-29T12:41:27.460-06:00,2021-01-29T13:33:19.354-06:00,,,Americas,Guatemalan Red Cross,,vMPG6MGnijsu8tbJnDstLN,9962,e31b3e01-fcae-4363-aa85-fe9856c6f0cf,2021-01-29T19:33:19,,7,0,GTM,Yes,SA Tool
2021-01-29T13:24:44.435-04:00,2021-01-29T16:04:20.130-04:00,,,Americas,Bolivian Red Cross,,vMPG6MGnijsu8tbJnDstLN,9965,cbca4d4d-4374-46b6-a7be-c26c96476bb5,2021-01-29T20:04:34,,8,0,BOL,Yes,SA Tool
2021-02-01T14:04:28.521-03:00,2021-02-01T14:08:20.061-03:00,,,Americas,Argentine Red Cross,,vMPG6MGnijsu8tbJnDstLN,10340,524113a8-1346-4b1a-8d62-1016ee1cd5e8,2021-02-01T17:18:38,,9,0,ARG,Yes,SA Tool
2021-02-02T10:19:53.145-05:00,2021-02-02T10:40:20.258-05:00,,,Americas,Ecuadorian Red Cross,,vMPG6MGnijsu8tbJnDstLN,10487,4f86e457-b2fb-4bd5-9854-523850fca293,2021-02-02T15:40:32,,10,0,ECU,Yes,SA Tool
2021-02-03T08:17:32.356-06:00,2021-02-03T10:41:31.661-06:00,,,Americas,Honduran Red Cross,,vMPG6MGnijsu8tbJnDstLN,10671,6b9af94e-c466-4184-9622-e848c210c11a,2021-02-03T16:41:32,,11,0,HND,Yes,SA Tool
2021-02-03T11:13:53.618-03:00,2021-02-03T14:46:56.131-03:00,,,Americas,Chilean Red Cross,,vMPG6MGnijsu8tbJnDstLN,10685,d87575ce-5644-40b0-87af-5cf0621b899e,2021-02-03T17:47:02,,12,0,CHL,Yes,SA Tool
2021-02-04T12:40:37.864-06:00,2021-02-04T13:29:59.886-06:00,,,Americas,Nicaraguan Red Cross,,vMPG6MGnijsu8tbJnDstLN,11062,e3e05bfd-2652-4034-b4a6-fcd7283e3744,2021-02-04T19:30:01,,13,0,NIC,Yes,SA Tool
2021-02-05T08:48:57.818-06:00,2021-02-05T09:10:00.999-06:00,,,Americas,Costa Rican Red Cross,,vMPG6MGnijsu8tbJnDstLN,11291,be2ea69a-d837-4698-bc61-75e630a2fb2b,2021-02-05T15:10:02,,14,0,CRI,Yes,SA Tool
2021-02-05T12:48:25.468-05:00,2021-02-05T13:10:39.365-05:00,,,Americas,Colombian Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,11322,ee921ebf-e92e-4892-bf9b-e1f10296ba78,2021-02-05T18:10:49,,15,0,COL,Yes,SA Tool
2021-01-26T10:27:54.209-05:00,2021-02-09T11:01:37.316-05:00,,,Americas,Peruvian Red Cross,,vMPG6MGnijsu8tbJnDstLN,11917,3db973aa-28d4-4515-b32e-b6ecac10048c,2021-02-09T16:01:52,,16,0,PER,Yes,SA Tool
2021-02-09T11:36:36.118-03:00,2021-02-09T17:20:07.473-03:00,,,Americas,Brazilian Red Cross,,vMPG6MGnijsu8tbJnDstLN,11989,63e09355-9dbd-489f-b862-5900d180e75a,2021-02-09T20:20:10,,17,0,BRA,Yes,SA Tool
2021-02-10T09:48:16.979-03:00,2021-02-10T10:10:05.249-03:00,,,Americas,Paraguayan Red Cross,,vMPG6MGnijsu8tbJnDstLN,12410,5d215256-2ecf-4bfd-a604-62cc7ca08694,2021-02-10T13:10:07,,18,0,PRY,Yes,SA Tool
2021-02-12T12:20:57.042-03:00,2021-02-12T12:33:23.404-03:00,,,Americas,Uruguayan Red Cross,,vMPG6MGnijsu8tbJnDstLN,13369,926411c8-72bb-4432-846c-24e80b2cc436,2021-02-12T15:33:22,,19,0,URY,Yes,SA Tool
Not,,,,Asia Pacific,Afghan Red Crescent,,,,,,,,0,AFG,Yes,SA Tool
Not,,,,Asia Pacific,Bangladesh Red Crescent Society,,,,,,,,0,BGD,Yes,SA Tool
Not,,,,Asia Pacific,Cambodian Red Cross,,,,,,,,0,KHM,Yes,SA Tool
Not,,,,Asia Pacific,Red Cross Society of China,,,,,,,,0,CHN,Yes,SA Tool
